,Name,MC_USD_Billion,MC_GBP_Billion,MC_EUR_Billion,MC_INR_Billion
0, JPMorgan Chase,43292.0,34633.6,40261.56,3591071.4
1, Bank of America,23152.0,18521.6,21531.36,1920458.4
2, Industrial and Commercial Bank of China,19456.0,15564.8,18094.08,1613875.2
3, Agricultural Bank of China,16068.0,12854.4,14943.24,1332840.6
4, HDFC Bank,15791.0,12632.8,14685.63,1309863.45
5, Wells Fargo,15587.0,12469.6,14495.91,1292941.65
6, HSBC Holdings PLC,14890.0,11912.0,13847.7,1235125.5
7, Morgan Stanley,14083.0,11266.4,13097.19,1168184.85
8, China Construction Bank,13982.0,11185.6,13003.26,1159806.9
9, Bank of China,13681.0,10944.8,12723.33,1134838.95
